county_state,year,population
"DICKSON, TENNESSEE",2021,55189
"DICKSON, TENNESSEE",2022,55777
"DICKSON, TENNESSEE",2023,56882
"DICKSON, TENNESSEE",2024,57804
"DICKSON, TENNESSEE",2025,58662
"DYER, TENNESSEE",2016,37542
"DYER, TENNESSEE",2017,37339
"DYER, TENNESSEE",2018,37286
"DYER, TENNESSEE",2019,37159
"DYER, TENNESSEE",2020,36710
"DYER, TENNESSEE",2021,36621
"DYER, TENNESSEE",2022,36415
"DYER, TENNESSEE",2023,36495
"DYER, TENNESSEE",2024,36484
"DYER, TENNESSEE",2025,36320
"FAYETTE, TENNESSEE",2016,39703
"FAYETTE, TENNESSEE",2017,40150
"FAYETTE, TENNESSEE",2018,40556
"FAYETTE, TENNESSEE",2019,41133
"FAYETTE, TENNESSEE",2020,41868
"FAYETTE, TENNESSEE",2021,42610
"FAYETTE, TENNESSEE",2022,43294
"FAYETTE, TENNESSEE",2023,44130
"FAYETTE, TENNESSEE",2024,44542
"FAYETTE, TENNESSEE",2025,45071
"FENTRESS, TENNESSEE",2016,18040
"FENTRESS, TENNESSEE",2017,18214
"FENTRESS, TENNESSEE",2018,18322
"FENTRESS, TENNESSEE",2019,18523
"FENTRESS, TENNESSEE",2020,18533
"FENTRESS, TENNESSEE",2021,18839
"FENTRESS, TENNESSEE",2022,19318
"FENTRESS, TENNESSEE",2023,19651
"FENTRESS, TENNESSEE",2024,20021
"FENTRESS, TENNESSEE",2025,20322
"FRANKLIN, TENNESSEE",2016,41518
"FRANKLIN, TENNESSEE",2017,41623
"FRANKLIN, TENNESSEE",2018,41935
"FRANKLIN, TENNESSEE",2019,42208
"FRANKLIN, TENNESSEE",2020,42842
"FRANKLIN, TENNESSEE",2021,43197
"FRANKLIN, TENNESSEE",2022,44166
"FRANKLIN, TENNESSEE",2023,44724
"FRANKLIN, TENNESSEE",2024,45191
"FRANKLIN, TENNESSEE",2025,45579
"GIBSON, TENNESSEE",2016,49250
"GIBSON, TENNESSEE",2017,49255
"GIBSON, TENNESSEE",2018,49171
"GIBSON, TENNESSEE",2019,49133
"GIBSON, TENNESSEE",2020,50443
"GIBSON, TENNESSEE",2021,50499
"GIBSON, TENNESSEE",2022,50891
"GIBSON, TENNESSEE",2023,51245
"GIBSON, TENNESSEE",2024,51645
"GIBSON, TENNESSEE",2025,51779
"GILES, TENNESSEE",2016,29165
"GILES, TENNESSEE",2017,29379
"GILES, TENNESSEE",2018,29446
"GILES, TENNESSEE",2019,29464
"GILES, TENNESSEE",2020,30346
"GILES, TENNESSEE",2021,30428
"GILES, TENNESSEE",2022,30572
"GILES, TENNESSEE",2023,30879
"GILES, TENNESSEE",2024,31016
"GILES, TENNESSEE",2025,31433
"GRAINGER, TENNESSEE",2016,23095
"GRAINGER, TENNESSEE",2017,23106
"GRAINGER, TENNESSEE",2018,23137
"GRAINGER, TENNESSEE",2019,23320
"GRAINGER, TENNESSEE",2020,23572
"GRAINGER, TENNESSEE",2021,23794
"GRAINGER, TENNESSEE",2022,24208
