BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
14-JUL-16,14:15:00,14-JUL-16,14:15:00,105948,635798,Thunderstorm Wind,"MARION, TENNESSEE",CST-6,0,0,0,0,0,0,35.06,-85.63,35.06,-85.63,False,False,0.2985967408173823
14-JUL-16,14:30:00,14-JUL-16,14:30:00,105948,635799,Thunderstorm Wind,"BLEDSOE, TENNESSEE",CST-6,0,0,0,0,0,0,35.47,-85.18,35.47,-85.18,False,False,0.2985967408173823
14-JUL-16,15:26:00,14-JUL-16,15:26:00,105948,635800,Hail,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.87,-84.18,35.87,-84.18,False,False,0.2985967408173823
14-JUL-16,15:31:00,14-JUL-16,15:31:00,105948,635801,Thunderstorm Wind,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.87,-84.18,35.87,-84.18,False,False,0.2985967408173823
27-APR-16,16:25:00,27-APR-16,16:25:00,104778,627399,Thunderstorm Wind,"MONTGOMERY, TENNESSEE",CST-6,0,0,0,0,1000,0,36.5232,-87.3512,36.5232,-87.3512,False,False,0.6811627004655976
27-APR-16,17:00:00,27-APR-16,17:00:00,104778,627401,Thunderstorm Wind,"CHEATHAM, TENNESSEE",CST-6,0,0,0,0,1000,0,36.3721,-86.9588,36.3721,-86.9588,False,False,0.6811627004655976
10-FEB-16,19:00:00,11-FEB-16,00:00:00,103830,620895,Winter Weather,"DEKALB, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
12-JUL-16,14:49:00,12-JUL-16,14:49:00,105914,635567,Thunderstorm Wind,"KNOX, TENNESSEE",EST-5,0,0,0,0,0,0,35.97,-83.95,35.97,-83.95,False,False,0.2985967408173823
20-JAN-16,09:04:00,20-JAN-16,11:30:00,102861,614749,Ice Storm,"FRANKLIN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
19-FEB-16,11:38:00,19-FEB-16,11:38:00,103836,620939,Strong Wind,"DICKSON, TENNESSEE",CST-6,0,0,0,0,5000,0,,,,,False,False,0.8617434040351785
