county_state,year,population
"LOUDON COUNTY, TENNESSEE",2017,52260
"LOUDON COUNTY, TENNESSEE",2018,53082
"LOUDON COUNTY, TENNESSEE",2019,54068
"LOUDON COUNTY, TENNESSEE",2020,55144
"LOUDON COUNTY, TENNESSEE",2021,56833
"LOUDON COUNTY, TENNESSEE",2022,58286
"LOUDON COUNTY, TENNESSEE",2023,60699
"LOUDON COUNTY, TENNESSEE",2024,62642
"LOUDON COUNTY, TENNESSEE",2025,63764
"MACON COUNTY, TENNESSEE",2016,23340
"MACON COUNTY, TENNESSEE",2017,23905
"MACON COUNTY, TENNESSEE",2018,24289
"MACON COUNTY, TENNESSEE",2019,24602
"MACON COUNTY, TENNESSEE",2020,25260
"MACON COUNTY, TENNESSEE",2021,25670
"MACON COUNTY, TENNESSEE",2022,26222
"MACON COUNTY, TENNESSEE",2023,26868
"MACON COUNTY, TENNESSEE",2024,27292
"MACON COUNTY, TENNESSEE",2025,27663
"MADISON COUNTY, TENNESSEE",2016,97478
"MADISON COUNTY, TENNESSEE",2017,97491
"MADISON COUNTY, TENNESSEE",2018,97603
"MADISON COUNTY, TENNESSEE",2019,97984
"MADISON COUNTY, TENNESSEE",2020,98832
"MADISON COUNTY, TENNESSEE",2021,98591
"MADISON COUNTY, TENNESSEE",2022,99283
"MADISON COUNTY, TENNESSEE",2023,99518
"MADISON COUNTY, TENNESSEE",2024,100267
"MADISON COUNTY, TENNESSEE",2025,100790
"MARION COUNTY, TENNESSEE",2016,28383
"MARION COUNTY, TENNESSEE",2017,28406
"MARION COUNTY, TENNESSEE",2018,28598
"MARION COUNTY, TENNESSEE",2019,28907
"MARION COUNTY, TENNESSEE",2020,28874
"MARION COUNTY, TENNESSEE",2021,28923
"MARION COUNTY, TENNESSEE",2022,29061
"MARION COUNTY, TENNESSEE",2023,29393
"MARION COUNTY, TENNESSEE",2024,29761
"MARION COUNTY, TENNESSEE",2025,29804
"MARSHALL COUNTY, TENNESSEE",2016,32035
"MARSHALL COUNTY, TENNESSEE",2017,33020
"MARSHALL COUNTY, TENNESSEE",2018,33806
"MARSHALL COUNTY, TENNESSEE",2019,34375
"MARSHALL COUNTY, TENNESSEE",2020,34467
"MARSHALL COUNTY, TENNESSEE",2021,35050
"MARSHALL COUNTY, TENNESSEE",2022,35857
"MARSHALL COUNTY, TENNESSEE",2023,37048
"MARSHALL COUNTY, TENNESSEE",2024,37882
"MARSHALL COUNTY, TENNESSEE",2025,38071
"MAURY COUNTY, TENNESSEE",2016,89556
"MAURY COUNTY, TENNESSEE",2017,92237
"MAURY COUNTY, TENNESSEE",2018,94273
"MAURY COUNTY, TENNESSEE",2019,96387
"MAURY COUNTY, TENNESSEE",2020,101812
"MAURY COUNTY, TENNESSEE",2021,105005
"MAURY COUNTY, TENNESSEE",2022,108048
"MAURY COUNTY, TENNESSEE",2023,111022
"MAURY COUNTY, TENNESSEE",2024,114456
"MAURY COUNTY, TENNESSEE",2025,118131
"MCMINN COUNTY, TENNESSEE",2016,52700
"MCMINN COUNTY, TENNESSEE",2017,52931
"MCMINN COUNTY, TENNESSEE",2018,53336
"MCMINN COUNTY, TENNESSEE",2019,53794
"MCMINN COUNTY, TENNESSEE",2020,53347
"MCMINN COUNTY, TENNESSEE",2021,53940
"MCMINN COUNTY, TENNESSEE",2022,54732
"MCMINN COUNTY, TENNESSEE",2023,55814
"MCMINN COUNTY, TENNESSEE",2024,56732
"MCMINN COUNTY, TENNESSEE",2025,57404
"MCNAIRY COUNTY, TENNESSEE",2016,25832
"MCNAIRY COUNTY, TENNESSEE",2017,26001
"MCNAIRY COUNTY, TENNESSEE",2018,25830
"MCNAIRY COUNTY, TENNESSEE",2019,25694
"MCNAIRY COUNTY, TENNESSEE",2020,25868
"MCNAIRY COUNTY, TENNESSEE",2021,25858
"MCNAIRY COUNTY, TENNESSEE",2022,25968
"MCNAIRY COUNTY, TENNESSEE",2023,26066
"MCNAIRY COUNTY, TENNESSEE",2024,26137
"MCNAIRY COUNTY, TENNESSEE",2025,26236
"MEIGS COUNTY, TENNESSEE",2016,11953
"MEIGS COUNTY, TENNESSEE",2017,12042
"MEIGS COUNTY, TENNESSEE",2018,12297
"MEIGS COUNTY, TENNESSEE",2019,12422
"MEIGS COUNTY, TENNESSEE",2020,12808
"MEIGS COUNTY, TENNESSEE",2021,13030
"MEIGS COUNTY, TENNESSEE",2022,13268
"MEIGS COUNTY, TENNESSEE",2023,13695
"MEIGS COUNTY, TENNESSEE",2024,13990
"MEIGS COUNTY, TENNESSEE",2025,14186
"MONROE COUNTY, TENNESSEE",2016,45848
"MONROE COUNTY, TENNESSEE",2017,46035
"MONROE COUNTY, TENNESSEE",2018,46269
"MONROE COUNTY, TENNESSEE",2019,46545
"MONROE COUNTY, TENNESSEE",2020,46399
"MONROE COUNTY, TENNESSEE",2021,46665
"MONROE COUNTY, TENNESSEE",2022,47719
"MONROE COUNTY, TENNESSEE",2023,48601
"MONROE COUNTY, TENNESSEE",2024,49338
"MONROE COUNTY, TENNESSEE",2025,49730
"MONTGOMERY COUNTY, TENNESSEE",2016,194424
"MONTGOMERY COUNTY, TENNESSEE",2017,199771
"MONTGOMERY COUNTY, TENNESSEE",2018,205312
"MONTGOMERY COUNTY, TENNESSEE",2019,208993
"MONTGOMERY COUNTY, TENNESSEE",2020,221286
"MONTGOMERY COUNTY, TENNESSEE",2021,227781
"MONTGOMERY COUNTY, TENNESSEE",2022,235141
"MONTGOMERY COUNTY, TENNESSEE",2023,240192
"MONTGOMERY COUNTY, TENNESSEE",2024,246281
"MONTGOMERY COUNTY, TENNESSEE",2025,249935
"MOORE COUNTY, TENNESSEE",2016,6293
"MOORE COUNTY, TENNESSEE",2017,6391
"MOORE COUNTY, TENNESSEE",2018,6457
"MOORE COUNTY, TENNESSEE",2019,6488
"MOORE COUNTY, TENNESSEE",2020,6472
"MOORE COUNTY, TENNESSEE",2021,6654
"MOORE COUNTY, TENNESSEE",2022,6726
"MOORE COUNTY, TENNESSEE",2023,6802
"MOORE COUNTY, TENNESSEE",2024,6822
"MOORE COUNTY, TENNESSEE",2025,6920
"MORGAN COUNTY, TENNESSEE",2016,21741
"MORGAN COUNTY, TENNESSEE",2017,21555
"MORGAN COUNTY, TENNESSEE",2018,21534
"MORGAN COUNTY, TENNESSEE",2019,21403
"MORGAN COUNTY, TENNESSEE",2020,21051
"MORGAN COUNTY, TENNESSEE",2021,21137
"MORGAN COUNTY, TENNESSEE",2022,21184
"MORGAN COUNTY, TENNESSEE",2023,21542
"MORGAN COUNTY, TENNESSEE",2024,22075
"MORGAN COUNTY, TENNESSEE",2025,22160
"OBION COUNTY, TENNESSEE",2016,30547
"OBION COUNTY, TENNESSEE",2017,30375
"OBION COUNTY, TENNESSEE",2018,30274
"OBION COUNTY, TENNESSEE",2019,30069
"OBION COUNTY, TENNESSEE",2020,30779
"OBION COUNTY, TENNESSEE",2021,30467
"OBION COUNTY, TENNESSEE",2022,30360
"OBION COUNTY, TENNESSEE",2023,30402
"OBION COUNTY, TENNESSEE",2024,30256
"OBION COUNTY, TENNESSEE",2025,30067
"OVERTON COUNTY, TENNESSEE",2016,21964
"OVERTON COUNTY, TENNESSEE",2017,21998
"OVERTON COUNTY, TENNESSEE",2018,22068
"OVERTON COUNTY, TENNESSEE",2019,22241
"OVERTON COUNTY, TENNESSEE",2020,22590
"OVERTON COUNTY, TENNESSEE",2021,22828
"OVERTON COUNTY, TENNESSEE",2022,22974
"OVERTON COUNTY, TENNESSEE",2023,23352
"OVERTON COUNTY, TENNESSEE",2024,23582
"OVERTON COUNTY, TENNESSEE",2025,23787
"PERRY COUNTY, TENNESSEE",2016,7880
"PERRY COUNTY, TENNESSEE",2017,7954
"PERRY COUNTY, TENNESSEE",2018,8050
"PERRY COUNTY, TENNESSEE",2019,8076
"PERRY COUNTY, TENNESSEE",2020,8383
"PERRY COUNTY, TENNESSEE",2021,8496
"PERRY COUNTY, TENNESSEE",2022,8692
"PERRY COUNTY, TENNESSEE",2023,8927
"PERRY COUNTY, TENNESSEE",2024,8986
"PERRY COUNTY, TENNESSEE",2025,9126
"PICKETT COUNTY, TENNESSEE",2016,5091
"PICKETT COUNTY, TENNESSEE",2017,5062
"PICKETT COUNTY, TENNESSEE",2018,5053
"PICKETT COUNTY, TENNESSEE",2019,5048
"PICKETT COUNTY, TENNESSEE",2020,5002
"PICKETT COUNTY, TENNESSEE",2021,5073
"PICKETT COUNTY, TENNESSEE",2022,5106
"PICKETT COUNTY, TENNESSEE",2023,5129
"PICKETT COUNTY, TENNESSEE",2024,5146
"PICKETT COUNTY, TENNESSEE",2025,5219
"POLK COUNTY, TENNESSEE",2016,16794
"POLK COUNTY, TENNESSEE",2017,16759
"POLK COUNTY, TENNESSEE",2018,16918
"POLK COUNTY, TENNESSEE",2019,16832
"POLK COUNTY, TENNESSEE",2020,17558
"POLK COUNTY, TENNESSEE",2021,17704
"POLK COUNTY, TENNESSEE",2022,17776
"POLK COUNTY, TENNESSEE",2023,18064
"POLK COUNTY, TENNESSEE",2024,18408
"POLK COUNTY, TENNESSEE",2025,18592
"PUTNAM COUNTY, TENNESSEE",2016,75985
"PUTNAM COUNTY, TENNESSEE",2017,77299
"PUTNAM COUNTY, TENNESSEE",2018,78631
"PUTNAM COUNTY, TENNESSEE",2019,80245
"PUTNAM COUNTY, TENNESSEE",2020,80101
"PUTNAM COUNTY, TENNESSEE",2021,81281
"PUTNAM COUNTY, TENNESSEE",2022,82590
"PUTNAM COUNTY, TENNESSEE",2023,83902
"PUTNAM COUNTY, TENNESSEE",2024,85011
"PUTNAM COUNTY, TENNESSEE",2025,86612
"RHEA COUNTY, TENNESSEE",2016,32474
"RHEA COUNTY, TENNESSEE",2017,32671
"RHEA COUNTY, TENNESSEE",2018,32911
"RHEA COUNTY, TENNESSEE",2019,33167
"RHEA COUNTY, TENNESSEE",2020,33302
"RHEA COUNTY, TENNESSEE",2021,33508
"RHEA COUNTY, TENNESSEE",2022,33999
"RHEA COUNTY, TENNESSEE",2023,34264
"RHEA COUNTY, TENNESSEE",2024,34716
"RHEA COUNTY, TENNESSEE",2025,34844
"ROANE COUNTY, TENNESSEE",2016,52944
"ROANE COUNTY, TENNESSEE",2017,53020
"ROANE COUNTY, TENNESSEE",2018,53258
"ROANE COUNTY, TENNESSEE",2019,53382
"ROANE COUNTY, TENNESSEE",2020,53666
"ROANE COUNTY, TENNESSEE",2021,54165
"ROANE COUNTY, TENNESSEE",2022,55279
"ROANE COUNTY, TENNESSEE",2023,56218
"ROANE COUNTY, TENNESSEE",2024,56769
"ROANE COUNTY, TENNESSEE",2025,57395
"ROBERTSON COUNTY, TENNESSEE",2016,69393
"ROBERTSON COUNTY, TENNESSEE",2017,70328
"ROBERTSON COUNTY, TENNESSEE",2018,71179
"ROBERTSON COUNTY, TENNESSEE",2019,71813
"ROBERTSON COUNTY, TENNESSEE",2020,72958
"ROBERTSON COUNTY, TENNESSEE",2021,74047
"ROBERTSON COUNTY, TENNESSEE",2022,75402
"ROBERTSON COUNTY, TENNESSEE",2023,76948
"ROBERTSON COUNTY, TENNESSEE",2024,78830
"ROBERTSON COUNTY, TENNESSEE",2025,80175
"RUTHERFORD COUNTY, TENNESSEE",2016,307415
"RUTHERFORD COUNTY, TENNESSEE",2017,316531
"RUTHERFORD COUNTY, TENNESSEE",2018,324647
"RUTHERFORD COUNTY, TENNESSEE",2019,332285
"RUTHERFORD COUNTY, TENNESSEE",2020,343285
"RUTHERFORD COUNTY, TENNESSEE",2021,351202
"RUTHERFORD COUNTY, TENNESSEE",2022,362373
"RUTHERFORD COUNTY, TENNESSEE",2023,370483
"RUTHERFORD COUNTY, TENNESSEE",2024,380086
"RUTHERFORD COUNTY, TENNESSEE",2025,386352
"SCOTT COUNTY, TENNESSEE",2016,21890
"SCOTT COUNTY, TENNESSEE",2017,21964
"SCOTT COUNTY, TENNESSEE",2018,22028
"SCOTT COUNTY, TENNESSEE",2019,22068
"SCOTT COUNTY, TENNESSEE",2020,21880
"SCOTT COUNTY, TENNESSEE",2021,21904
"SCOTT COUNTY, TENNESSEE",2022,22038
"SCOTT COUNTY, TENNESSEE",2023,22253
"SCOTT COUNTY, TENNESSEE",2024,22553
"SCOTT COUNTY, TENNESSEE",2025,22671
"SEQUATCHIE COUNTY, TENNESSEE",2016,14754
"SEQUATCHIE COUNTY, TENNESSEE",2017,14767
"SEQUATCHIE COUNTY, TENNESSEE",2018,14891
"SEQUATCHIE COUNTY, TENNESSEE",2019,15026
"SEQUATCHIE COUNTY, TENNESSEE",2020,15848
"SEQUATCHIE COUNTY, TENNESSEE",2021,16447
"SEQUATCHIE COUNTY, TENNESSEE",2022,16917
"SEQUATCHIE COUNTY, TENNESSEE",2023,17168
"SEQUATCHIE COUNTY, TENNESSEE",2024,17609
"SEQUATCHIE COUNTY, TENNESSEE",2025,17861
"SEVIER COUNTY, TENNESSEE",2016,96470
"SEVIER COUNTY, TENNESSEE",2017,97307
"SEVIER COUNTY, TENNESSEE",2018,97895
"SEVIER COUNTY, TENNESSEE",2019,98250
"SEVIER COUNTY, TENNESSEE",2020,98848
"SEVIER COUNTY, TENNESSEE",2021,99625
"SEVIER COUNTY, TENNESSEE",2022,99362
"SEVIER COUNTY, TENNESSEE",2023,100410
"SEVIER COUNTY, TENNESSEE",2024,101224
"SEVIER COUNTY, TENNESSEE",2025,101342
"SHELBY COUNTY, TENNESSEE",2016,936021
"SHELBY COUNTY, TENNESSEE",2017,935251
"SHELBY COUNTY, TENNESSEE",2018,936365
"SHELBY COUNTY, TENNESSEE",2019,937166
"SHELBY COUNTY, TENNESSEE",2020,929720
"SHELBY COUNTY, TENNESSEE",2021,923315
"SHELBY COUNTY, TENNESSEE",2022,919092
"SHELBY COUNTY, TENNESSEE",2023,915501
"SHELBY COUNTY, TENNESSEE",2024,915438
"SHELBY COUNTY, TENNESSEE",2025,910226
"SMITH COUNTY, TENNESSEE",2016,19526
"SMITH COUNTY, TENNESSEE",2017,19732
"SMITH COUNTY, TENNESSEE",2018,19979
"SMITH COUNTY, TENNESSEE",2019,20157
"SMITH COUNTY, TENNESSEE",2020,19963
"SMITH COUNTY, TENNESSEE",2021,20175
"SMITH COUNTY, TENNESSEE",2022,20471
"SMITH COUNTY, TENNESSEE",2023,20538
"SMITH COUNTY, TENNESSEE",2024,20785
"SMITH COUNTY, TENNESSEE",2025,20981
"STEWART COUNTY, TENNESSEE",2016,13190
"STEWART COUNTY, TENNESSEE",2017,13422
"STEWART COUNTY, TENNESSEE",2018,13619
"STEWART COUNTY, TENNESSEE",2019,13715
"STEWART COUNTY, TENNESSEE",2020,13708
"STEWART COUNTY, TENNESSEE",2021,13820
"STEWART COUNTY, TENNESSEE",2022,14011
"STEWART COUNTY, TENNESSEE",2023,14269
"STEWART COUNTY, TENNESSEE",2024,14373
"STEWART COUNTY, TENNESSEE",2025,14439
"SULLIVAN COUNTY, TENNESSEE",2016,156182
"SULLIVAN COUNTY, TENNESSEE",2017,156924
"SULLIVAN COUNTY, TENNESSEE",2018,157599
"SULLIVAN COUNTY, TENNESSEE",2019,158348
"SULLIVAN COUNTY, TENNESSEE",2020,158238
"SULLIVAN COUNTY, TENNESSEE",2021,159250
"SULLIVAN COUNTY, TENNESSEE",2022,160899
"SULLIVAN COUNTY, TENNESSEE",2023,161953
"SULLIVAN COUNTY, TENNESSEE",2024,162709
"SULLIVAN COUNTY, TENNESSEE",2025,163759
"SUMNER COUNTY, TENNESSEE",2016,179332
"SUMNER COUNTY, TENNESSEE",2017,183756
"SUMNER COUNTY, TENNESSEE",2018,187490
"SUMNER COUNTY, TENNESSEE",2019,191283
"SUMNER COUNTY, TENNESSEE",2020,197416
"SUMNER COUNTY, TENNESSEE",2021,200578
"SUMNER COUNTY, TENNESSEE",2022,204002
"SUMNER COUNTY, TENNESSEE",2023,208501
"SUMNER COUNTY, TENNESSEE",2024,212181
"SUMNER COUNTY, TENNESSEE",2025,215538
"TIPTON COUNTY, TENNESSEE",2016,61223
"TIPTON COUNTY, TENNESSEE",2017,61305
"TIPTON COUNTY, TENNESSEE",2018,61576
"TIPTON COUNTY, TENNESSEE",2019,61599
"TIPTON COUNTY, TENNESSEE",2020,61050
"TIPTON COUNTY, TENNESSEE",2021,61083
"TIPTON COUNTY, TENNESSEE",2022,61606
"TIPTON COUNTY, TENNESSEE",2023,61957
"TIPTON COUNTY, TENNESSEE",2024,62306
"TIPTON COUNTY, TENNESSEE",2025,62287
"TROUSDALE COUNTY, TENNESSEE",2016,9955
"TROUSDALE COUNTY, TENNESSEE",2017,10831
"TROUSDALE COUNTY, TENNESSEE",2018,11033
"TROUSDALE COUNTY, TENNESSEE",2019,11284
"TROUSDALE COUNTY, TENNESSEE",2020,11646
"TROUSDALE COUNTY, TENNESSEE",2021,11621
"TROUSDALE COUNTY, TENNESSEE",2022,12089
"TROUSDALE COUNTY, TENNESSEE",2023,12327
"TROUSDALE COUNTY, TENNESSEE",2024,12189
"TROUSDALE COUNTY, TENNESSEE",2025,12623
"UNICOI COUNTY, TENNESSEE",2016,17737
"UNICOI COUNTY, TENNESSEE",2017,17796
"UNICOI COUNTY, TENNESSEE",2018,17822
"UNICOI COUNTY, TENNESSEE",2019,17883
"UNICOI COUNTY, TENNESSEE",2020,17873
"UNICOI COUNTY, TENNESSEE",2021,17617
"UNICOI COUNTY, TENNESSEE",2022,17607
"UNICOI COUNTY, TENNESSEE",2023,17823
"UNICOI COUNTY, TENNESSEE",2024,17925
"UNICOI COUNTY, TENNESSEE",2025,17856
"UNION COUNTY, TENNESSEE",2016,19219
"UNION COUNTY, TENNESSEE",2017,19399
"UNION COUNTY, TENNESSEE",2018,19689
"UNION COUNTY, TENNESSEE",2019,19972
"UNION COUNTY, TENNESSEE",2020,19847
"UNION COUNTY, TENNESSEE",2021,20020
"UNION COUNTY, TENNESSEE",2022,20483
"UNION COUNTY, TENNESSEE",2023,20760
"UNION COUNTY, TENNESSEE",2024,21136
"UNION COUNTY, TENNESSEE",2025,21450
"VAN BUREN COUNTY, TENNESSEE",2016,5721
"VAN BUREN COUNTY, TENNESSEE",2017,5747
"VAN BUREN COUNTY, TENNESSEE",2018,5763
"VAN BUREN COUNTY, TENNESSEE",2019,5872
"VAN BUREN COUNTY, TENNESSEE",2020,6174
"VAN BUREN COUNTY, TENNESSEE",2021,6297
"VAN BUREN COUNTY, TENNESSEE",2022,6457
"VAN BUREN COUNTY, TENNESSEE",2023,6576
"VAN BUREN COUNTY, TENNESSEE",2024,6683
"VAN BUREN COUNTY, TENNESSEE",2025,6874
"WARREN COUNTY, TENNESSEE",2016,40428
"WARREN COUNTY, TENNESSEE",2017,40717
"WARREN COUNTY, TENNESSEE",2018,40826
"WARREN COUNTY, TENNESSEE",2019,41277
"WARREN COUNTY, TENNESSEE",2020,41057
"WARREN COUNTY, TENNESSEE",2021,41478
"WARREN COUNTY, TENNESSEE",2022,41978
"WARREN COUNTY, TENNESSEE",2023,42615
"WARREN COUNTY, TENNESSEE",2024,43544
"WARREN COUNTY, TENNESSEE",2025,43717
"WASHINGTON COUNTY, TENNESSEE",2016,127247
"WASHINGTON COUNTY, TENNESSEE",2017,127603
"WASHINGTON COUNTY, TENNESSEE",2018,128661
"WASHINGTON COUNTY, TENNESSEE",2019,129375
"WASHINGTON COUNTY, TENNESSEE",2020,133211
"WASHINGTON COUNTY, TENNESSEE",2021,133461
"WASHINGTON COUNTY, TENNESSEE",2022,136273
"WASHINGTON COUNTY, TENNESSEE",2023,138454
"WASHINGTON COUNTY, TENNESSEE",2024,139574
"WASHINGTON COUNTY, TENNESSEE",2025,141199
"WAYNE COUNTY, TENNESSEE",2016,16747
"WAYNE COUNTY, TENNESSEE",2017,16641
"WAYNE COUNTY, TENNESSEE",2018,16635
"WAYNE COUNTY, TENNESSEE",2019,16673
"WAYNE COUNTY, TENNESSEE",2020,16220
"WAYNE COUNTY, TENNESSEE",2021,16331
"WAYNE COUNTY, TENNESSEE",2022,16254
"WAYNE COUNTY, TENNESSEE",2023,16050
"WAYNE COUNTY, TENNESSEE",2024,16034
"WAYNE COUNTY, TENNESSEE",2025,16416
"WEAKLEY COUNTY, TENNESSEE",2016,33610
"WEAKLEY COUNTY, TENNESSEE",2017,33325
"WEAKLEY COUNTY, TENNESSEE",2018,33413
"WEAKLEY COUNTY, TENNESSEE",2019,33328
"WEAKLEY COUNTY, TENNESSEE",2020,32908
"WEAKLEY COUNTY, TENNESSEE",2021,32905
"WEAKLEY COUNTY, TENNESSEE",2022,33052
"WEAKLEY COUNTY, TENNESSEE",2023,33167
"WEAKLEY COUNTY, TENNESSEE",2024,33216
"WEAKLEY COUNTY, TENNESSEE",2025,33261
"WHITE COUNTY, TENNESSEE",2016,26463
"WHITE COUNTY, TENNESSEE",2017,26764
"WHITE COUNTY, TENNESSEE",2018,27086
"WHITE COUNTY, TENNESSEE",2019,27345
"WHITE COUNTY, TENNESSEE",2020,27441
"WHITE COUNTY, TENNESSEE",2021,27559
"WHITE COUNTY, TENNESSEE",2022,28016
"WHITE COUNTY, TENNESSEE",2023,28715
"WHITE COUNTY, TENNESSEE",2024,29227
"WHITE COUNTY, TENNESSEE",2025,29612
"WILLIAMSON COUNTY, TENNESSEE",2016,218903
"WILLIAMSON COUNTY, TENNESSEE",2017,226048
"WILLIAMSON COUNTY, TENNESSEE",2018,231978
"WILLIAMSON COUNTY, TENNESSEE",2019,238412
"WILLIAMSON COUNTY, TENNESSEE",2020,249614
"WILLIAMSON COUNTY, TENNESSEE",2021,256192
"WILLIAMSON COUNTY, TENNESSEE",2022,261335
"WILLIAMSON COUNTY, TENNESSEE",2023,264898
"WILLIAMSON COUNTY, TENNESSEE",2024,268486
"WILLIAMSON COUNTY, TENNESSEE",2025,272061
"WILSON COUNTY, TENNESSEE",2016,132494
"WILSON COUNTY, TENNESSEE",2017,136691
"WILSON COUNTY, TENNESSEE",2018,140954
"WILSON COUNTY, TENNESSEE",2019,144657
"WILSON COUNTY, TENNESSEE",2020,148654
"WILSON COUNTY, TENNESSEE",2021,152095
"WILSON COUNTY, TENNESSEE",2022,158979
"WILSON COUNTY, TENNESSEE",2023,164275
"WILSON COUNTY, TENNESSEE",2024,170340
"WILSON COUNTY, TENNESSEE",2025,175033
