county_state,year,population
"COFFEE COUNTY, TENNESSEE",2019,56520
"COFFEE COUNTY, TENNESSEE",2020,58132
"COFFEE COUNTY, TENNESSEE",2021,59002
"COFFEE COUNTY, TENNESSEE",2022,59660
"COFFEE COUNTY, TENNESSEE",2023,60562
"COFFEE COUNTY, TENNESSEE",2024,61473
"COFFEE COUNTY, TENNESSEE",2025,62419
"CROCKETT COUNTY, TENNESSEE",2016,14448
"CROCKETT COUNTY, TENNESSEE",2017,14436
"CROCKETT COUNTY, TENNESSEE",2018,14296
"CROCKETT COUNTY, TENNESSEE",2019,14230
"CROCKETT COUNTY, TENNESSEE",2020,13907
"CROCKETT COUNTY, TENNESSEE",2021,13983
"CROCKETT COUNTY, TENNESSEE",2022,13873
"CROCKETT COUNTY, TENNESSEE",2023,13967
"CROCKETT COUNTY, TENNESSEE",2024,13963
"CROCKETT COUNTY, TENNESSEE",2025,14006
"CUMBERLAND COUNTY, TENNESSEE",2016,58580
"CUMBERLAND COUNTY, TENNESSEE",2017,59023
"CUMBERLAND COUNTY, TENNESSEE",2018,59738
"CUMBERLAND COUNTY, TENNESSEE",2019,60520
"CUMBERLAND COUNTY, TENNESSEE",2020,61381
"CUMBERLAND COUNTY, TENNESSEE",2021,62407
"CUMBERLAND COUNTY, TENNESSEE",2022,63524
"CUMBERLAND COUNTY, TENNESSEE",2023,64817
"CUMBERLAND COUNTY, TENNESSEE",2024,65630
"CUMBERLAND COUNTY, TENNESSEE",2025,66300
"DAVIDSON COUNTY, TENNESSEE",2016,685829
"DAVIDSON COUNTY, TENNESSEE",2017,687159
"DAVIDSON COUNTY, TENNESSEE",2018,690516
"DAVIDSON COUNTY, TENNESSEE",2019,694144
"DAVIDSON COUNTY, TENNESSEE",2020,716153
"DAVIDSON COUNTY, TENNESSEE",2021,701450
"DAVIDSON COUNTY, TENNESSEE",2022,712156
"DAVIDSON COUNTY, TENNESSEE",2023,720989
"DAVIDSON COUNTY, TENNESSEE",2024,736623
