YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201605,105636,633754,4,2.96,SE,HAYS CROSSING,35.0345,-89.4507,352070,8927042
201609,110573,660278,1,3.76,NE,BERRYS CHAPEL,36.0151,-86.8426,36906,8650556
201609,110074,658052,1,0.69,S,FINCASTLE,36.41,-84.05,3624600,843000
201609,110573,660263,1,0.73,E,OAKWOOD,36.5287,-87.5669,3631722,8734014
201609,110573,660264,1,0.69,N,BAKERSWORKS,36.09,-87.27,365400,8716200
201609,110573,660265,1,0.0,N,KINGSTON SPGS,36.1,-87.12,366000,877200
201609,110573,660266,1,0.42,ESE,OLD HICKORY,36.2575,-86.6433,3615450,8638598
201609,110573,660267,1,0.0,N,FAIRVIEW,35.98,-87.12,3558800,877200
201609,110573,660268,1,3.46,W,FOREST HOME,35.9872,-86.9912,3559232,8659472
201609,110573,660269,1,2.49,SW,NASHVILLE,36.1434,-86.81,368604,8648600
201609,110573,660270,1,0.93,SSW,KANSAS,36.4384,-86.3886,3626304,8623316
201609,110573,660271,1,3.49,W,FOREST HOME,35.9884,-86.9916,3559304,8659496
201609,110573,660271,2,0.53,SE,FOREST HOME,35.975,-86.9228,3558500,8655368
201609,110573,660272,1,0.79,NNE,WOODBINE,36.1311,-86.717,367866,8643020
201609,110573,660273,1,0.58,NNW,TULIP GROVE,36.2071,-86.6057,3612426,8636342
201609,110573,660274,1,1.85,NW,BERRY HILL,36.1353,-86.7972,368118,8647832
201609,110573,660275,1,0.86,WNW,BERRYS CHAPEL,35.9725,-86.8951,3558350,8653706
201609,110573,660276,1,1.24,N,FRANKLIN,35.9376,-86.896,3556256,8653760
201609,110573,660277,1,3.37,N,MALLORYS,35.9981,-86.8101,3559886,8648606
201609,110573,660279,1,1.89,SSW,GREEN HILL,36.2054,-86.565,3612324,8633900
201609,110573,660280,1,0.67,WSW,EWINGVILLE,35.9178,-86.8816,3555068,8652896
201609,110573,660281,1,0.8,NW,BERRYS CHAPEL,35.9793,-86.8886,3558758,8653316
201609,110573,660282,1,2.85,N,BERRYS CHAPEL,36.0107,-86.8886,36642,8653316
201609,110573,660283,1,0.0,N,LEIPERS FORK,35.9,-87.0,3554000,8700
201609,110573,660284,1,0.31,WNW,MT JULIET,36.2024,-86.5246,3612144,8631476
201609,110573,660285,1,0.65,N,KEDRON,35.7094,-86.9218,3542564,8655308
201609,110573,660286,1,1.09,ESE,LEBANON,36.2118,-86.2832,3612708,8616992
201609,110573,660287,1,0.0,N,SMYRNA,35.98,-86.53,3558800,8631800
201609,110573,660288,1,1.67,ENE,CROSS KEYS,35.7615,-86.7438,3545690,8644628
201609,110573,660289,1,1.77,SE,GRAY,35.4787,-86.4023,3528722,8624138
201609,110573,660290,1,0.0,N,SHELBYVILLE,35.48,-86.47,3528800,8628200
201609,110574,660292,1,4.63,WNW,HENRYVILLE,35.4221,-87.4777,3525326,8728662
201608,109839,656915,1,0.49,ENE,PLEASANTVILLE,35.6731,-87.6922,3540386,8741532
201608,109839,656916,1,2.67,E,CHESTNUT GROVE,35.633,-87.7727,3537980,8746362
201608,109839,656917,1,0.84,NE,KEDRON,35.7092,-86.9101,3542552,8654606
201608,109839,656917,2,0.94,NNE,KEDRON,35.7115,-86.9111,3542690,8654666
201608,109839,656918,1,1.33,SE,WEBBER CITY,35.3342,-87.2866,3520052,8717196
201608,109839,656919,1,1.76,ENE,ARMOUR VLG,35.6395,-87.1409,3538370,878454
201608,109839,656920,1,2.23,ESE,ARMOUR VLG,35.6136,-87.1357,3536816,878142
201608,109839,656921,1,0.0,N,SANTA FE,35.73,-87.13,3543800,877800
201608,109841,656922,1,0.0,N,STATESVILLE,36.03,-86.13,361800,867800
201608,109841,656923,1,1.26,SW,VAUGHNS GAP,36.055,-86.8927,363300,8653562
201608,109841,656924,1,0.0,N,BELLEVUE,36.07,-86.93,364200,8655800
201608,109841,656925,1,1.05,WNW,GREEN HILL,36.2348,-86.5679,3614088,8634074
201608,109841,656925,2,0.48,NNW,GREEN HILL,36.2364,-86.5534,3614184,8633204
201608,109841,656925,3,0.56,SE,GREENLAWN,36.2442,-86.5629,3614652,8633774
201608,109841,656925,4,0.55,S,GREENLAWN,36.2421,-86.5688,3614526,8634128
201608,109838,656908,1,0.63,NNE,LITTLE TEXAS,35.8089,-86.7777,3548534,8646662
201608,110601,660376,1,2.0,NW,ELIZABETHTON,36.3705,-82.2454,3622230,8214724
201608,110601,660376,2,4.0,ENE,ELIZABETHTON,36.3722,-82.1536,3622332,829216
201608,110601,660376,3,4.0,ESE,ELIZABETHTON,36.3279,-82.1536,3619674,829216
201608,110601,660376,4,2.0,SW,ELIZABETHTON,36.3295,-82.2454,3619770,8214724
201611,110978,662288,1,0.79,ENE,POPLAR HILL,35.4046,-84.6371,3524276,8438226
201611,110978,662288,2,2.7,N,MANILA,35.5091,-84.482,3530546,8428920
201608,110601,660377,1,4.0,NNE,MORRISTOWN,36.2735,-83.2525,3616410,8315150
201608,110601,660377,2,9.0,ENE,MORRISTOWN,36.2699,-83.1308,3616194,837848
201608,110601,660377,3,7.0,E,MORRISTOWN,36.22,-83.1544,3613200,839264
201608,110601,660377,4,0.0,ENE,MORRISTOWN,36.22,-83.28,3613200,8316800
201608,110603,660379,1,3.0,SE,PIKEVILLE,35.5693,-85.1623,3534158,859738
201608,110603,660379,2,7.0,SSW,PIKEVILLE,35.5064,-85.2477,3530384,8514862
201608,110603,660379,3,9.0,SW,PIKEVILLE,35.5079,-85.3132,3530474,8518792
201608,110603,660379,4,2.0,WSW,PIKEVILLE,35.5889,-85.2329,3535334,8513974
201608,109797,656734,1,1.94,S,SAILORS REST,36.3921,-87.5846,3623526,8735076
201608,109797,656735,1,0.0,S,WAVERLY,36.08,-87.8,364800,8748000
201608,109797,656736,1,1.33,WSW,CENTERVILLE ARPT,35.8197,-87.47,3549182,8728200
201608,109797,656737,1,0.0,N,BON AQUA,35.95,-87.33,3557000,8719800
201608,109797,656738,1,2.23,W,OVERALL,35.8148,-86.5192,3548888,8631152
201608,109797,656738,2,0.41,S,MURFREESBORO,35.8441,-86.421,3550646,8625260
201608,109804,656742,1,0.0,N,CLARKSVILLE,36.53,-87.35,3631800,8721000
201608,109804,656743,1,0.14,NNE,TULIP GROVE,36.202,-86.5994,3612120,8635964
201608,109804,656746,1,1.15,NW,OGLESBY,36.0599,-86.7465,363594,8644790
