YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE
201603,104483,628713,4,0.96,SE,ROSSVILLE ARPT,35.0387,-89.5602
201603,104483,628713,5,1.43,SE,ROSSVILLE,35.0357,-89.5317
201603,104483,628713,6,1.46,NE,ROSSVILLE,35.0654,-89.5324
201603,104483,628713,7,1.46,N,ROSSVILLE,35.0711,-89.553
201607,105872,635193,1,0.55,E,HARROGATE,36.58,-83.64
201607,105872,635212,1,0.89,NW,PIGEON FORGE,35.79,-83.56
201607,105872,635264,1,1.77,NE,DENNIS COVE,36.29,-82.1
201607,105872,635272,1,0.89,SW,ELIZABETHTON,36.34,-82.23
201607,105872,635274,1,1.12,W,ROCKY BRANCH,35.73,-83.87
201607,105872,635281,1,0.89,SE,(TYS)MCGHEE TYSON KN,35.81,-83.99
